name	avgCONTROL	avgTRT	logFC	Pval	logPval	FDR
AAAS	52.6597	64.002	0.281417686191	0.0014	2.853871964321762	0.00497972
AACS	5.21828	7.20248	0.464919391604	5e-5	4.301029995663981	2.54479e-4
AAK1	3.55694	1.69723	-1.06745455376	5e-5	4.301029995663981	2.54479e-4
AARSD1	43.0013	26.7059	-0.687221771042	5e-5	4.301029995663981	2.54479e-4
ABCA2	2.20714	4.37033	0.985564077155	5e-5	4.301029995663981	2.54479e-4
ABCA7	7.66431	9.64286	0.331305187207	3e-4	3.5228787452803374	0.00129577
ABCB9	2.60562	3.76847	0.532352209121	5e-5	4.301029995663981	2.54479e-4
ABCD1	2.74729	4.16859	0.601550276155	5e-5	4.301029995663981	2.54479e-4
ABCE1	60.0995	72.731	0.275217424044	0.0031	2.5086383061657274	0.00998809
ABCF1	65.4998	88.5315	0.434700363988	5e-5	4.301029995663981	2.54479e-4
ABHD11	18.7451	14.3906	-0.38138677714	4e-4	3.3979400086720375	0.00166802
ABHD14B	51.1257	40.9014	-0.321898465675	3.5e-4	3.4559319556497243	0.00148216
ABHD15	2.42611	3.21127	0.404499006516	1e-4	4	4.78506e-4
ABHD16A	59.8769	48.2858	-0.31040055051	7e-4	3.154901959985743	0.00272449
ABHD16B	5.27145	9.70238	0.88013883100800006	5e-5	4.301029995663981	2.54479e-4
ABHD17A	52.0817	63.0648	0.276058440563	0.00235	2.6289321377282637	0.00781425
ABHD6	1.02109	1.91311	0.905809795595	5e-5	4.301029995663981	2.54479e-4
ABHD8	5.95775	4.54734	-0.389744709311	2.5e-4	3.6020599913279625	0.00110334
ABL1	40.5969	48.9601	0.270236938022	0.0017	2.769551078621726	0.00588184
ABLIM3	1.07844	0.118596	-3.1848186564	5e-5	4.301029995663981	2.54479e-4
ACAA2	27.9574	16.372	-0.771999626391	5e-5	4.301029995663981	2.54479e-4
ACACA	10.7154	15.4542	0.528313267742	5e-5	4.301029995663981	2.54479e-4
ACACB	1.29828	0.480772	-1.43317678135	5e-5	4.301029995663981	2.54479e-4
ACADM	55.6126	45.0252	-0.304679103056	5.5e-4	3.2596373105057563	0.0022
ACADS	17	10.8345	-0.64990217015	5e-5	4.301029995663981	2.54479e-4
ACADVL	91.386	113.101	0.307566613461	3e-4	3.5228787452803374	0.00129577
ACAP2	17.3904	14.031	-0.309673282147	5.5e-4	3.2596373105057563	0.0022
ACAP3	7.63013	14.9613	0.971455995051	5e-5	4.301029995663981	2.54479e-4
ACAT2	74.467	145.674	0.968070264146	5e-5	4.301029995663981	2.54479e-4
ACBD4	3.15037	2.24718	-0.487405588493	8e-4	3.0969100130080562	0.00305499
ACBD5	4.85968	3.6043	-0.431142221132	5e-5	4.301029995663981	2.54479e-4
ACCS	6.4757	4.83823	-0.420556797549	5e-5	4.301029995663981	2.54479e-4
