name	logFC	Pval	logPval	FDR	avgCTRL	avgTRT
AAK1	-1.06745455376	5e-5	4.301029995663981	2.54479e-4	3.55694	1.69723
AARSD1	-0.687221771042	5e-5	4.301029995663981	2.54479e-4	43.0013	26.7059
ABHD11	-0.38138677714	4e-4	3.3979400086720375	0.00166802	18.7451	14.3906
ABHD14B	-0.321898465675	3.5e-4	3.4559319556497243	0.00148216	51.1257	40.9014
ABHD16A	-0.31040055051	7e-4	3.154901959985743	0.00272449	59.8769	48.2858
ABHD8	-0.389744709311	2.5e-4	3.6020599913279625	0.00110334	5.95775	4.54734
ABLIM3	-3.1848186564	5e-5	4.301029995663981	2.54479e-4	1.07844	0.118596
ACAA2	-0.771999626391	5e-5	4.301029995663981	2.54479e-4	27.9574	16.372
ACACB	-1.43317678135	5e-5	4.301029995663981	2.54479e-4	1.29828	0.480772
ACADM	-0.304679103056	5.5e-4	3.2596373105057563	0.0022	55.6126	45.0252
ACADS	-0.64990217015	5e-5	4.301029995663981	2.54479e-4	17	10.8345
ACAP2	-0.309673282147	5.5e-4	3.2596373105057563	0.0022	17.3904	14.031
ACBD4	-0.487405588493	8e-4	3.0969100130080562	0.00305499	3.15037	2.24718
ACBD5	-0.431142221132	5e-5	4.301029995663981	2.54479e-4	4.85968	3.6043
ACCS	-0.420556797549	5e-5	4.301029995663981	2.54479e-4	6.4757	4.83823
ACOT13	-0.498500915252	0.0031	2.5086383061657274	0.00998809	20.5779	14.5659
ACOX3	-0.642267956718	5e-5	4.301029995663981	2.54479e-4	3.62919	2.32524
ACSL1	-0.432005576091	5e-5	4.301029995663981	2.54479e-4	19.2859	14.2953
ACSL3	-0.317376829644	7e-4	3.154901959985743	0.00272449	42.6784	34.2506
ACSM1	-2.49907913257	5e-5	4.301029995663981	2.54479e-4	1.74921	0.309417
ACTG1	-0.295769984676	5e-4	3.3010299956639813	0.00202581	881.343	717.975
ACTL8	-0.817349985064	5e-5	4.301029995663981	2.54479e-4	2.29827	1.30423
ACTR10	-0.339403837348	4.5e-4	3.3467874862246565	0.00184587	17.9939	14.2218
ACTR2	-0.331488253125	2e-4	3.6989700043360187	9.03309e-4	131.876	104.804
ACTR3	-0.324999067757	5e-5	4.301029995663981	2.54479e-4	86.0268	68.6751
ACVR2B	-0.633867271766	5e-5	4.301029995663981	2.54479e-4	4.63545	2.9873
ACY1	-0.541270230502	5e-5	4.301029995663981	2.54479e-4	57.9249	39.804
ADAM17	-0.437478648826	5e-5	4.301029995663981	2.54479e-4	22.0089	16.2519
ADAM9	-0.679617672235	5e-5	4.301029995663981	2.54479e-4	27.0621	16.8957
ADCK2	-0.460924070674	5e-5	4.301029995663981	2.54479e-4	11.3315	8.23257
ADCK3	-0.439278368926	5e-5	4.301029995663981	2.54479e-4	20.8757	15.3959
ADGRD1	-0.467022459041	5e-5	4.301029995663981	2.54479e-4	2.10614	1.5237
ADM2	-2.31427895759	5e-5	4.301029995663981	2.54479e-4	5.76555	1.15924
ADPRM	-0.550757051365	1.5e-4	3.8239087409443187	6.94213e-4	3.90306	2.66447
ADRBK1	-0.400426583638	5e-5	4.301029995663981	2.54479e-4	61.6205	46.6858
ADRBK2	-0.555583044876	5e-5	4.301029995663981	2.54479e-4	3.45622	2.35155
ADTRP	-1.04063750872	5e-5	4.301029995663981	2.54479e-4	9.7621	4.74548
AGA	-1.30057730439	5e-5	4.301029995663981	2.54479e-4	15.5222	6.30145
AGAP11	-0.662169102965	5e-5	4.301029995663981	2.54479e-4	4.51373	2.85235
AGAP5	-0.445110462163	5e-5	4.301029995663981	2.54479e-4	4.25141	3.12278
AGBL5	-0.746183266517	5e-5	4.301029995663981	2.54479e-4	38.4581	22.9279
AGO4	-0.624412688332	5e-5	4.301029995663981	2.54479e-4	7.08934	4.59874
AGPAT5	-0.274982067789	0.0027	2.5686362358410126	0.00884918	10.0319	8.29097
AGPAT9	-0.763794396141	5e-5	4.301029995663981	2.54479e-4	12.857	7.57207
AGPS	-0.437423494801	5e-5	4.301029995663981	2.54479e-4	22.316	16.4793
AHCY	-0.357920264307	5e-5	4.301029995663981	2.54479e-4	181.702	141.78
AHSP	-0.506474820415	2e-4	3.6989700043360187	9.03309e-4	16.6024	11.6871
AIFM1	-0.57847933286	5e-5	4.301029995663981	2.54479e-4	85.1928	57.051
AIM1L	-1.50629311435	5e-5	4.301029995663981	2.54479e-4	1.53336	0.539765
AKAP7	-0.468056779324	0.00255	2.593459819566045	0.00841688	1.3177	0.952615
AKIP1	-0.34610387683	5e-4	3.3010299956639813	0.00202581	25.9632	20.4254
AKNA	-2.76658137673	5e-5	4.301029995663981	2.54479e-4	17.346800000000002	2.54915
AKR1A1	-0.702063988962	5e-5	4.301029995663981	2.54479e-4	81.3726	50.0191
AKR1B1	-0.630482082304	5e-5	4.301029995663981	2.54479e-4	5.4673	3.53166
ALDH1A1	-0.863488887921	5e-5	4.301029995663981	2.54479e-4	19.7907	10.8774
ALDH1L2	-2.52115355169	5e-5	4.301029995663981	2.54479e-4	16.7632	2.92021
