name	logFC	Pval	logPval	FDR	avgCTRL	avgTRT
AAK1	-1.06745455376	5e-5	4.301029995663981	2.54479e-4	3.55694	1.69723
ABLIM3	-3.1848186564	5e-5	4.301029995663981	2.54479e-4	1.07844	0.118596
ACACB	-1.43317678135	5e-5	4.301029995663981	2.54479e-4	1.29828	0.480772
ACSM1	-2.49907913257	5e-5	4.301029995663981	2.54479e-4	1.74921	0.309417
ADM2	-2.31427895759	5e-5	4.301029995663981	2.54479e-4	5.76555	1.15924
ADTRP	-1.04063750872	5e-5	4.301029995663981	2.54479e-4	9.7621	4.74548
AGA	-1.30057730439	5e-5	4.301029995663981	2.54479e-4	15.5222	6.30145
AIM1L	-1.50629311435	5e-5	4.301029995663981	2.54479e-4	1.53336	0.539765
AKNA	-2.76658137673	5e-5	4.301029995663981	2.54479e-4	17.346800000000002	2.54915
ALDH1L2	-2.52115355169	5e-5	4.301029995663981	2.54479e-4	16.7632	2.92021
ALDH2	-1.21824708372	5e-5	4.301029995663981	2.54479e-4	39.2939	16.8887
ALOX12	-1.73738937872	5e-5	4.301029995663981	2.54479e-4	1.8159	0.54461
AMIGO3	-1.00220709476	1e-4	4	4.78506e-4	6.71825	3.35399
ANXA1	-1.10534142132	5e-5	4.301029995663981	2.54479e-4	751.359	349.226
ANXA3	-2.33046452792	5e-5	4.301029995663981	2.54479e-4	22.3577	4.4451599999999996
APBB3	-1.01670426235	0.00255	2.593459819566045	0.00841688	10.0176	4.95114
ARG2	-1.27196999013	5e-5	4.301029995663981	2.54479e-4	34.6844	14.3626
ASNS	-2.25167103002	5e-5	4.301029995663981	2.54479e-4	599.955	125.979
ASS1	-3.19948750064	5e-5	4.301029995663981	2.54479e-4	21.8719	2.38092
ATF5	-2.84844688112	5e-5	4.301029995663981	2.54479e-4	421.613	58.5391
ATP2A3	-1.74603457555	5e-5	4.301029995663981	2.54479e-4	122.292	36.4577
BCAS3	-1.78495748733	5e-5	4.301029995663981	2.54479e-4	3.84383	1.11542
BEX2	-2.8914982883399998	5e-5	4.301029995663981	2.54479e-4	75.6555	10.1956
BEX5	-2.12725159246	5e-5	4.301029995663981	2.54479e-4	3.5653	0.816074
BHLHA15	-1.56459915563	5e-5	4.301029995663981	2.54479e-4	3.04329	1.02885
C10orf54	-1.67444002268	5e-5	4.301029995663981	2.54479e-4	6.34452	1.98766
C11orf65	-1.15877156318	6e-4	3.2218487496163566	0.00237728	1.42267	0.637205
C6orf52	-1.67542989322	5e-5	4.301029995663981	2.54479e-4	12.9123	4.04249
CALCOCO2	-1.08798438589	5e-5	4.301029995663981	2.54479e-4	39.9096	18.7742
CARS	-1.07867063438	5e-5	4.301029995663981	2.54479e-4	88.9369	42.1085
CCDC113	-1.22517794258	5e-5	4.301029995663981	2.54479e-4	1.81	0.774218
CCDC144B	-2.99595806719	5e-5	4.301029995663981	2.54479e-4	1.68236	0.210885
CCDC159	-1.0206565941	5e-5	4.301029995663981	2.54479e-4	3.71341	1.83031
CCDC26	-1.04150241778	5e-5	4.301029995663981	2.54479e-4	40.2434	19.5511
CCDC28A	-1.01312237114	5e-5	4.301029995663981	2.54479e-4	22.8174	11.3054
CCDC67	-1.40270092268	5e-5	4.301029995663981	2.54479e-4	11.9139	4.50608
CCPG1	-1.94258280177	5e-5	4.301029995663981	2.54479e-4	90.2413	23.4763
CDK2AP2	-1.11505792509	5e-5	4.301029995663981	2.54479e-4	51.7763	23.9037
CDNF	-1.64311047129	5e-5	4.301029995663981	2.54479e-4	1.93172	0.61847
CFD	-1.37725648391	5e-5	4.301029995663981	2.54479e-4	24.3803	9.3852
CLGN	-1.48894284734	5e-5	4.301029995663981	2.54479e-4	5.46145	1.94577
COL15A1	-1.29904640697	5e-5	4.301029995663981	2.54479e-4	4.08524	1.66022
COL6A3	-1.70124910823	5e-5	4.301029995663981	2.54479e-4	4.89419	1.50506
COLGALT2	-1.8338861033	5e-5	4.301029995663981	2.54479e-4	48.6364	13.6429
CORO1A	-1.03228004654	5e-5	4.301029995663981	2.54479e-4	11.3593	5.55398
COX7A2L	-1.14976685029	5e-5	4.301029995663981	2.54479e-4	212.732	95.8779
CRYGS	-1.1409328102	7.5e-4	3.1249387366083	0.00289398	1.99825	0.906139
CSTA	-3.43250095614	5e-5	4.301029995663981	2.54479e-4	9.30702	0.862035
CT45A10	-1.7501739220800001	5e-5	4.301029995663981	2.54479e-4	62.2298	18.4988
CTAGE5	-1.32162290396	5e-5	4.301029995663981	2.54479e-4	14.4164	5.76778
CTH	-2.04337145538	5e-5	4.301029995663981	2.54479e-4	53.5532	12.9918
CTSF	-1.01717224285	5e-5	4.301029995663981	2.54479e-4	4.79449	2.36888
CYFIP2	-3.46772129184	5e-5	4.301029995663981	2.54479e-4	3.03919	0.274707
CYP2F1	-1.33098131164	5e-5	4.301029995663981	2.54479e-4	6.1785	2.45594
CYP2R1	-1.27866558385	5e-5	4.301029995663981	2.54479e-4	20.0664	8.2709
CYP4V2	-1.18644095338	5e-5	4.301029995663981	2.54479e-4	3.00324	1.31958
DERA	-1.04318109037	5e-5	4.301029995663981	2.54479e-4	9.57902	4.64828
DFNA5	-2.27549684004	5e-5	4.301029995663981	2.54479e-4	2.50954	0.518324
DGCR6	-1.02935394715	5e-5	4.301029995663981	2.54479e-4	7.7583	3.80102
DLX1	-1.41913300406	5e-5	4.301029995663981	2.54479e-4	24.7193	9.24346
DLX2	-1.13644906388	5e-5	4.301029995663981	2.54479e-4	6.95057	3.16166
DNAJB9	-1.75373103656	5e-5	4.301029995663981	2.54479e-4	15.1698	4.49836
DNAJC12	-1.25161017167	5e-5	4.301029995663981	2.54479e-4	61.4809	25.8207
DTWD2	-1.17741251805	5e-5	4.301029995663981	2.54479e-4	4.84883	2.14388
EDF1	-1.07463375421	5e-5	4.301029995663981	2.54479e-4	612.216	290.675
EFHD1	-1.00316196752	5e-5	4.301029995663981	2.54479e-4	7.07986	3.53218
EIF4EBP1	-1.11675908637	5e-5	4.301029995663981	2.54479e-4	258.596	119.246
EMID1	-1.032501004	5e-5	4.301029995663981	2.54479e-4	9.40065	4.59562
ENTPD3-AS1	-1.28242111284	5e-5	4.301029995663981	2.54479e-4	2.04241	0.839645
EPB41L4A-AS1	-1.05512858451	5e-5	4.301029995663981	2.54479e-4	27.8811	13.4179
EPHX2	-1.02453364364	5e-5	4.301029995663981	2.54479e-4	24.0961	11.8449
ERICH2	-1.44663632336	5e-5	4.301029995663981	2.54479e-4	34.1557	12.5309
ERMARD	-1.40735088191	5e-5	4.301029995663981	2.54479e-4	18.2148	6.86704
ERN1	-1.23071880619	5e-5	4.301029995663981	2.54479e-4	5.06361	2.15763
FAM107B	-2.25269012771	5e-5	4.301029995663981	2.54479e-4	2.95297	0.619629
FAM129A	-1.64988618065	5e-5	4.301029995663981	2.54479e-4	45.5412	14.5124
FAM172A	-1.00380386849	5e-5	4.301029995663981	2.54479e-4	1.70593	0.850719
FAM215A	-1.94190210563	0.0012	2.9208187539523753	0.00436604	1.75566	0.456951
FAM89A	-1.21234303151	5e-5	4.301029995663981	2.54479e-4	57.0289	24.6118
FAM95A	-1.14492322076	5e-4	3.3010299956639813	0.00202581	1.614	0.729873
FBXL13	-1.11511261118	5e-5	4.301029995663981	2.54479e-4	18.5751	8.57529
FBXO25	-1.47155077394	5e-5	4.301029995663981	2.54479e-4	9.25444	3.3371
FBXO4	-1.40140616094	5e-5	4.301029995663981	2.54479e-4	24.4748	9.26518
FCRLA	-1.51891541274	5e-5	4.301029995663981	2.54479e-4	1.10472	0.38549
FERMT2	-2.04084782953	5e-5	4.301029995663981	2.54479e-4	1.8392	0.446964
FICD	-1.66161756096	5e-5	4.301029995663981	2.54479e-4	4.30214	1.35984
FKBP9P1	-2.15850738773	5e-5	4.301029995663981	2.54479e-4	9.47645	2.12261
FRA10AC1	-1.03811677271	5e-5	4.301029995663981	2.54479e-4	7.99975	3.89558
G0S2	-3.06001421316	5e-5	4.301029995663981	2.54479e-4	28.4008	3.40545
GAB2	-1.66782997805	5e-5	4.301029995663981	2.54479e-4	33.6308	10.5845
GABRG1	-2.34185637283	5e-5	4.301029995663981	2.54479e-4	1.94303	0.383275
GALM	-1.74715026444	5e-5	4.301029995663981	2.54479e-4	50.3747	15.0061
