name	logFC	Pval	logPval	FDR
AAAS	0.281417686191	0.0014	2.853871964321762	0.00497972
AACS	0.464919391604	5e-5	4.301029995663981	2.54479e-4
AAK1	-1.06745455376	5e-5	4.301029995663981	2.54479e-4
AARSD1	-0.687221771042	5e-5	4.301029995663981	2.54479e-4
ABCA2	0.985564077155	5e-5	4.301029995663981	2.54479e-4
ABCA7	0.331305187207	3e-4	3.5228787452803374	0.00129577
ABCB1	0.638493049521	5e-5	4.301029995663981	2.54479e-4
ABCB9	0.532352209121	5e-5	4.301029995663981	2.54479e-4
ABCD1	0.601550276155	5e-5	4.301029995663981	2.54479e-4
ABCE1	0.275217424044	0.0031	2.5086383061657274	0.00998809
ABCF1	0.434700363988	5e-5	4.301029995663981	2.54479e-4
ABHD11	-0.38138677714	4e-4	3.3979400086720375	0.00166802
ABHD14B	-0.321898465675	3.5e-4	3.4559319556497243	0.00148216
ABHD15	0.404499006516	1e-4	4	4.78506e-4
ABHD16A	-0.31040055051	7e-4	3.154901959985743	0.00272449
ABHD16B	0.88013883100800006	5e-5	4.301029995663981	2.54479e-4
ABHD17A	0.276058440563	0.00235	2.6289321377282637	0.00781425
ABHD6	0.905809795595	5e-5	4.301029995663981	2.54479e-4
ABHD8	-0.389744709311	2.5e-4	3.6020599913279625	0.00110334
ABL1	0.270236938022	0.0017	2.769551078621726	0.00588184
ABLIM3	-3.1848186564	5e-5	4.301029995663981	2.54479e-4
ACAA2	-0.771999626391	5e-5	4.301029995663981	2.54479e-4
ACACA	0.528313267742	5e-5	4.301029995663981	2.54479e-4
ACACB	-1.43317678135	5e-5	4.301029995663981	2.54479e-4
ACADM	-0.304679103056	5.5e-4	3.2596373105057563	0.0022
ACADS	-0.64990217015	5e-5	4.301029995663981	2.54479e-4
ACADVL	0.307566613461	3e-4	3.5228787452803374	0.00129577
ACAP2	-0.309673282147	5.5e-4	3.2596373105057563	0.0022
ACAP3	0.971455995051	5e-5	4.301029995663981	2.54479e-4
ACAT2	0.968070264146	5e-5	4.301029995663981	2.54479e-4
ACBD4	-0.487405588493	8e-4	3.0969100130080562	0.00305499
ACBD5	-0.431142221132	5e-5	4.301029995663981	2.54479e-4
ACCS	-0.420556797549	5e-5	4.301029995663981	2.54479e-4
ACHE	0.781621172557	5e-5	4.301029995663981	2.54479e-4
ACOT13	-0.498500915252	0.0031	2.5086383061657274	0.00998809
ACOX3	-0.642267956718	5e-5	4.301029995663981	2.54479e-4
ACRBP	0.478345303731	1.5e-4	3.8239087409443187	6.94213e-4
ACSBG1	1.38254166025	5e-5	4.301029995663981	2.54479e-4
ACSF2	0.581927325832	8e-4	3.0969100130080562	0.00305499
ACSL1	-0.432005576091	5e-5	4.301029995663981	2.54479e-4
ACSL3	-0.317376829644	7e-4	3.154901959985743	0.00272449
ACSL4	0.607751803333	5e-5	4.301029995663981	2.54479e-4
ACSM1	-2.49907913257	5e-5	4.301029995663981	2.54479e-4
ACSS2	0.500291047264	5e-5	4.301029995663981	2.54479e-4
ACTG1	-0.295769984676	5e-4	3.3010299956639813	0.00202581
ACTL8	-0.817349985064	5e-5	4.301029995663981	2.54479e-4
ACTR10	-0.339403837348	4.5e-4	3.3467874862246565	0.00184587
ACTR2	-0.331488253125	2e-4	3.6989700043360187	9.03309e-4
ACTR3	-0.324999067757	5e-5	4.301029995663981	2.54479e-4
ACTR3B	0.49900185713	5e-5	4.301029995663981	2.54479e-4
ACVR2B	-0.633867271766	5e-5	4.301029995663981	2.54479e-4
ACY1	-0.541270230502	5e-5	4.301029995663981	2.54479e-4
ADAM17	-0.437478648826	5e-5	4.301029995663981	2.54479e-4
ADAM9	-0.679617672235	5e-5	4.301029995663981	2.54479e-4
ADAMTS14	0.621521844198	5e-5	4.301029995663981	2.54479e-4
ADAMTS3	0.674583234432	5e-5	4.301029995663981	2.54479e-4
ADAMTSL5	0.559456840957	5e-5	4.301029995663981	2.54479e-4
ADARB1	2.04945919818	5e-5	4.301029995663981	2.54479e-4
ADAT3	1.00614707707	6e-4	3.2218487496163566	0.00237728
ADCK2	-0.460924070674	5e-5	4.301029995663981	2.54479e-4
ADCK3	-0.439278368926	5e-5	4.301029995663981	2.54479e-4
ADCY3	0.543231761262	6.5e-4	3.1870866433571443	0.00255283
ADD2	0.594673347402	5e-5	4.301029995663981	2.54479e-4
ADGRD1	-0.467022459041	5e-5	4.301029995663981	2.54479e-4
ADGRE2	0.356972987176	0.00195	2.709965388637482	0.00664609
ADIPOR2	0.365985154957	5e-5	4.301029995663981	2.54479e-4
ADM2	-2.31427895759	5e-5	4.301029995663981	2.54479e-4
ADNP2	0.341056133099	1.5e-4	3.8239087409443187	6.94213e-4
ADPRM	-0.550757051365	1.5e-4	3.8239087409443187	6.94213e-4
ADRA1D	0.911083200718	1e-4	4	4.78506e-4
ADRBK1	-0.400426583638	5e-5	4.301029995663981	2.54479e-4
ADRBK2	-0.555583044876	5e-5	4.301029995663981	2.54479e-4
ADTRP	-1.04063750872	5e-5	4.301029995663981	2.54479e-4
AFF1	0.395334072964	5e-5	4.301029995663981	2.54479e-4
AGA	-1.30057730439	5e-5	4.301029995663981	2.54479e-4
AGAP11	-0.662169102965	5e-5	4.301029995663981	2.54479e-4
AGAP3	0.367688718446	5e-5	4.301029995663981	2.54479e-4
AGAP5	-0.445110462163	5e-5	4.301029995663981	2.54479e-4
AGAP6	0.413064103285	5e-5	4.301029995663981	2.54479e-4
AGBL5	-0.746183266517	5e-5	4.301029995663981	2.54479e-4
AGFG1	0.276588405513	0.0024	2.619788758288394	0.00796364
AGL	0.369866034248	5e-5	4.301029995663981	2.54479e-4
AGO1	0.413056542717	5e-5	4.301029995663981	2.54479e-4
AGO4	-0.624412688332	5e-5	4.301029995663981	2.54479e-4
AGPAT4	0.527595299319	5e-5	4.301029995663981	2.54479e-4
AGPAT5	-0.274982067789	0.0027	2.5686362358410126	0.00884918
AGPAT9	-0.763794396141	5e-5	4.301029995663981	2.54479e-4
AGPS	-0.437423494801	5e-5	4.301029995663981	2.54479e-4
AGRN	0.767170124986	5e-5	4.301029995663981	2.54479e-4
AHCY	-0.357920264307	5e-5	4.301029995663981	2.54479e-4
AHDC1	0.686537132669	5e-5	4.301029995663981	2.54479e-4
AHI1	0.393364752394	5e-5	4.301029995663981	2.54479e-4
AHNAK	0.758633485598	5e-5	4.301029995663981	2.54479e-4
AHSA1	0.395723406951	5e-5	4.301029995663981	2.54479e-4
AHSP	-0.506474820415	2e-4	3.6989700043360187	9.03309e-4
