name	logFC	Pval	logPval	FDR	avgCTRL	avgTRT
AAAS	0.281417686191	0.0014	2.853871964321762	0.00497972	52.6597	64.002
AACS	0.464919391604	5e-5	4.301029995663981	2.54479e-4	5.21828	7.20248
ABCA2	0.985564077155	5e-5	4.301029995663981	2.54479e-4	2.20714	4.37033
ABCA7	0.331305187207	3e-4	3.5228787452803374	0.00129577	7.66431	9.64286
ABCB9	0.532352209121	5e-5	4.301029995663981	2.54479e-4	2.60562	3.76847
ABCD1	0.601550276155	5e-5	4.301029995663981	2.54479e-4	2.74729	4.16859
ABCE1	0.275217424044	0.0031	2.5086383061657274	0.00998809	60.0995	72.731
ABCF1	0.434700363988	5e-5	4.301029995663981	2.54479e-4	65.4998	88.5315
ABHD15	0.404499006516	1e-4	4	4.78506e-4	2.42611	3.21127
ABHD16B	0.88013883100800006	5e-5	4.301029995663981	2.54479e-4	5.27145	9.70238
ABHD17A	0.276058440563	0.00235	2.6289321377282637	0.00781425	52.0817	63.0648
ABHD6	0.905809795595	5e-5	4.301029995663981	2.54479e-4	1.02109	1.91311
ABL1	0.270236938022	0.0017	2.769551078621726	0.00588184	40.5969	48.9601
ACACA	0.528313267742	5e-5	4.301029995663981	2.54479e-4	10.7154	15.4542
ACADVL	0.307566613461	3e-4	3.5228787452803374	0.00129577	91.386	113.101
ACAP3	0.971455995051	5e-5	4.301029995663981	2.54479e-4	7.63013	14.9613
ACAT2	0.968070264146	5e-5	4.301029995663981	2.54479e-4	74.467	145.674
ACHE	0.781621172557	5e-5	4.301029995663981	2.54479e-4	2.53899	4.36468
ACRBP	0.478345303731	1.5e-4	3.8239087409443187	6.94213e-4	3.64662	5.08027
ACSF2	0.581927325832	8e-4	3.0969100130080562	0.00305499	1.12612	1.68563
ACSL4	0.607751803333	5e-5	4.301029995663981	2.54479e-4	7.37209	11.2342
ACSS2	0.500291047264	5e-5	4.301029995663981	2.54479e-4	23.7494	33.5935
