name	logFC	Pval	logPval	FDR
AAK1	-1.06745455376	5e-5	4.301029995663981	2.54479e-4
AARSD1	-0.687221771042	5e-5	4.301029995663981	2.54479e-4
ABHD11	-0.38138677714	4e-4	3.3979400086720375	0.00166802
ABHD14B	-0.321898465675	3.5e-4	3.4559319556497243	0.00148216
ABHD16A	-0.31040055051	7e-4	3.154901959985743	0.00272449
ABHD8	-0.389744709311	2.5e-4	3.6020599913279625	0.00110334
ABLIM3	-3.1848186564	5e-5	4.301029995663981	2.54479e-4
ACAA2	-0.771999626391	5e-5	4.301029995663981	2.54479e-4
ACACB	-1.43317678135	5e-5	4.301029995663981	2.54479e-4
ACADM	-0.304679103056	5.5e-4	3.2596373105057563	0.0022
ACADS	-0.64990217015	5e-5	4.301029995663981	2.54479e-4
ACAP2	-0.309673282147	5.5e-4	3.2596373105057563	0.0022
ACBD4	-0.487405588493	8e-4	3.0969100130080562	0.00305499
ACBD5	-0.431142221132	5e-5	4.301029995663981	2.54479e-4
ACCS	-0.420556797549	5e-5	4.301029995663981	2.54479e-4
ACOT13	-0.498500915252	0.0031	2.5086383061657274	0.00998809
ACOX3	-0.642267956718	5e-5	4.301029995663981	2.54479e-4
ACSL1	-0.432005576091	5e-5	4.301029995663981	2.54479e-4
ACSL3	-0.317376829644	7e-4	3.154901959985743	0.00272449
ACSM1	-2.49907913257	5e-5	4.301029995663981	2.54479e-4
ACTG1	-0.295769984676	5e-4	3.3010299956639813	0.00202581
ACTL8	-0.817349985064	5e-5	4.301029995663981	2.54479e-4
ACTR10	-0.339403837348	4.5e-4	3.3467874862246565	0.00184587
ACTR2	-0.331488253125	2e-4	3.6989700043360187	9.03309e-4
ACTR3	-0.324999067757	5e-5	4.301029995663981	2.54479e-4
ACVR2B	-0.633867271766	5e-5	4.301029995663981	2.54479e-4
ACY1	-0.541270230502	5e-5	4.301029995663981	2.54479e-4
ADAM17	-0.437478648826	5e-5	4.301029995663981	2.54479e-4
ADAM9	-0.679617672235	5e-5	4.301029995663981	2.54479e-4
ADCK2	-0.460924070674	5e-5	4.301029995663981	2.54479e-4
ADCK3	-0.439278368926	5e-5	4.301029995663981	2.54479e-4
ADGRD1	-0.467022459041	5e-5	4.301029995663981	2.54479e-4
ADM2	-2.31427895759	5e-5	4.301029995663981	2.54479e-4
ADPRM	-0.550757051365	1.5e-4	3.8239087409443187	6.94213e-4
ADRBK1	-0.400426583638	5e-5	4.301029995663981	2.54479e-4
ADRBK2	-0.555583044876	5e-5	4.301029995663981	2.54479e-4
ADTRP	-1.04063750872	5e-5	4.301029995663981	2.54479e-4
AGA	-1.30057730439	5e-5	4.301029995663981	2.54479e-4
AGAP11	-0.662169102965	5e-5	4.301029995663981	2.54479e-4
AGAP5	-0.445110462163	5e-5	4.301029995663981	2.54479e-4
AGBL5	-0.746183266517	5e-5	4.301029995663981	2.54479e-4
AGO4	-0.624412688332	5e-5	4.301029995663981	2.54479e-4
AGPAT5	-0.274982067789	0.0027	2.5686362358410126	0.00884918
AGPAT9	-0.763794396141	5e-5	4.301029995663981	2.54479e-4
AGPS	-0.437423494801	5e-5	4.301029995663981	2.54479e-4
AHCY	-0.357920264307	5e-5	4.301029995663981	2.54479e-4
AHSP	-0.506474820415	2e-4	3.6989700043360187	9.03309e-4
AIFM1	-0.57847933286	5e-5	4.301029995663981	2.54479e-4
AIM1L	-1.50629311435	5e-5	4.301029995663981	2.54479e-4
AK9	-0.870274449271	1e-4	4	4.78506e-4
AKAP7	-0.468056779324	0.00255	2.593459819566045	0.00841688
AKIP1	-0.34610387683	5e-4	3.3010299956639813	0.00202581
AKNA	-2.76658137673	5e-5	4.301029995663981	2.54479e-4
AKR1A1	-0.702063988962	5e-5	4.301029995663981	2.54479e-4
AKR1B1	-0.630482082304	5e-5	4.301029995663981	2.54479e-4
ALDH1A1	-0.863488887921	5e-5	4.301029995663981	2.54479e-4
ALDH1L2	-2.52115355169	5e-5	4.301029995663981	2.54479e-4
ALDH2	-1.21824708372	5e-5	4.301029995663981	2.54479e-4
ALDH6A1	-0.468138788381	3.5e-4	3.4559319556497243	0.00148216
ALG10B	-0.370342404024	7e-4	3.154901959985743	0.00272449
ALG14	-0.70519038503	5e-5	4.301029995663981	2.54479e-4
ALG2	-0.879012895864	5e-5	4.301029995663981	2.54479e-4
ALG5	-0.466888897849	5e-5	4.301029995663981	2.54479e-4
ALG9	-0.322377904169	0.00145	2.838631997765025	0.00512418
ALKBH3	-0.612339738261	5e-5	4.301029995663981	2.54479e-4
ALKBH7	-0.926632733203	5e-5	4.301029995663981	2.54479e-4
ALOX12	-1.73738937872	5e-5	4.301029995663981	2.54479e-4
ALOX5	-0.662369037202	3e-4	3.5228787452803374	0.00129577
ALPK1	-0.843835900318	5e-5	4.301029995663981	2.54479e-4
ALX4	-0.819627862166	5e-5	4.301029995663981	2.54479e-4
AMIGO3	-1.00220709476	1e-4	4	4.78506e-4
ANAPC13	-0.361945235818	4.5e-4	3.3467874862246565	0.00184587
ANAPC16	-0.909525843189	5e-5	4.301029995663981	2.54479e-4
ANKEF1	-0.5423944116	1e-4	4	4.78506e-4
ANKFN1	-3.13797622489	1e-4	4	4.78506e-4
ANKH	-0.607104731424	1e-4	4	4.78506e-4
ANKMY2	-0.295403112241	9e-4	3.0457574905606752	0.00337628
ANKRD11	-0.554289722449	5e-5	4.301029995663981	2.54479e-4
ANKRD13A	-0.288604195209	9e-4	3.0457574905606752	0.00337628
ANKRD18DP	-0.702960965082	5e-5	4.301029995663981	2.54479e-4
ANKRD27	-0.364598902244	5e-5	4.301029995663981	2.54479e-4
ANKRD33B	-0.620444978594	5e-5	4.301029995663981	2.54479e-4
ANKRD36BP1	-0.412183415258	3e-4	3.5228787452803374	0.00129577
ANKRD46	-0.464249930603	5e-5	4.301029995663981	2.54479e-4
ANP32B	-0.60185113637	5e-5	4.301029995663981	2.54479e-4
ANP32E	-0.277324180326	0.00135	2.869666231504994	0.00482786
ANTXR2	-0.503252876	5e-5	4.301029995663981	2.54479e-4
ANXA1	-1.10534142132	5e-5	4.301029995663981	2.54479e-4
ANXA11	-0.388921019386	5e-5	4.301029995663981	2.54479e-4
ANXA3	-2.33046452792	5e-5	4.301029995663981	2.54479e-4
AP1S2	-0.392852576572	1.5e-4	3.8239087409443187	6.94213e-4
AP4S1	-0.712358787731	0.0031	2.5086383061657274	0.00998809
APBB3	-1.01670426235	0.00255	2.593459819566045	0.00841688
APOBR	-0.400448243664	1e-4	4	4.78506e-4
APOL6	-1.55189683246	5e-5	4.301029995663981	2.54479e-4
