name	sample1	sample2	sample3	sample4	sample5	sample6	avgCONTROL	avgTRT
A1BG	1.65442	1.96445	2.13896	1.32809	1.40559	1.48672	1.9192766666666667	1.4067999999999998
AAAS	54.2684	53.8968	49.814	61.9739	66.6036	63.4286	52.65973333333333	64.00203333333333
AACS	4.50927	5.8278	5.31778	7.2955	7.21584	7.09611	5.218283333333333	7.202483333333333
AACSP1	1.27822	1.88267	1.67934	1.34324	1.34373	1.41569	1.61341	1.3675533333333334
AAED1	13.7277	15.4332	12.917	13.4374	13.7853	12.6304	14.025966666666667	13.284366666666665
AAGAB	34.3024	36.1195	32.9611	33.3333	33.4816	33.1522	34.461	33.32236666666666
AAK1	3.63986	3.52348	3.50748	1.61581	1.76808	1.70781	3.5569399999999995	1.6972333333333334
AAMDC	14.8946	16.8666	18.194	13.3908	12.4001	12.6259	16.651733333333333	12.8056
AAMP	52.6706	54.6571	52.8918	54.1958	57.1833	57.147	53.406499999999994	56.17536666666666
AAR2	20.1461	21.9911	21.0813	19.8256	19.4941	18.9124	21.07283333333333	19.410700000000002
AARS	154.224	137.281	135.474	128.402	122.487	123.346	142.32633333333334	124.745
AARS2	11.9769	12.4693	12.0287	10.6446	11.8614	11.4345	12.158300000000002	11.3135
AARSD1	45.3049	47.4411	36.258	28.1042	27.8717	24.1417	43.00133333333334	26.705866666666665
AASDH	6.05443	5.17009	5.62857	6.19735	6.16205	6.35046	5.617696666666667	6.236619999999999
AASDHPPT	34.9646	29.1564	31.5702	33.7985	33.0333	31.9222	31.897066666666664	32.918
AATBC	0.977389	0.898608	1.19221	0.800259	1.15443	0.95374	1.0227356666666667	0.9694763333333333
AATF	64.1915	68.232	64.0975	72.6995	73.7403	71.8316	65.50699999999999	72.75713333333333
ABALON	45.8132	45.281	49.0967	43.0605	44.216	44.6686	46.7303	43.9817
ABCA11P	4.6792299999999996	4.28119	3.68921	4.65817	3.814	4.83211	4.216543333333333	4.43476
ABCA2	2.00975	2.11227	2.49942	4.06369	4.12738	4.91991	2.2071466666666666	4.370326666666666
ABCA3	7.95433	8.16168	8.58709	8.89758	8.98385	9.12783	8.234366666666666	9.003086666666666
ABCA7	7.51971	7.87427	7.59896	9.89101	9.65098	9.38658	7.664313333333332	9.642856666666667
ABCA8	2.71669	2.7549	3.03715	3.11131	3.08342	3.1231	2.8362466666666664	3.1059433333333337
ABCB10	33.4495	30.9861	32.2097	29.2125	26.3928	25.9581	32.2151	27.1878
ABCB6	7.62969	7.99565	9.0206	9.94095	8.61383	7.47216	8.215313333333334	8.675646666666667
ABCB7	16.2683	16.5256	16.5032	14.9092	13.5918	14.4033	16.432366666666667	14.301433333333334
ABCB8	16.3983	16.7752	15.9637	15.8995	15.4048	15.0568	16.37906666666667	15.4537
ABCB9	2.47289	2.52547	2.8185	4.02369	3.80241	3.4793	2.60562	3.768466666666667
ABCC1	9.7825	9.62383	10.3488	11.5727	12.4977	11.6216	9.918376666666667	11.897333333333334
