GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
protein folding in endoplasmic reticulum (GO:0034975)	11	9	1.20	+	7.49	5.23E-05	3.66E-03
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	17	12	1.86	+	6.47	8.42E-06	7.63E-04
cytoplasmic translation (GO:0002181)	124	86	13.54	+	6.35	8.06E-33	8.42E-30
cotranslational protein targeting to membrane (GO:0006613)	22	15	2.40	+	6.24	8.61E-07	9.58E-05
membrane protein intracellular domain proteolysis (GO:0031293)	12	8	1.31	+	6.11	3.70E-04	1.88E-02
retrograde protein transport, ER to cytosol (GO:0030970)	17	11	1.86	+	5.93	3.60E-05	2.65E-03
endoplasmic reticulum to cytosol transport (GO:1903513)	17	11	1.86	+	5.93	3.60E-05	2.64E-03
formation of translation preinitiation complex (GO:0001731)	11	7	1.20	+	5.83	1.06E-03	4.31E-02
ribosome disassembly (GO:0032790)	11	7	1.20	+	5.83	1.06E-03	4.30E-02
L-serine metabolic process (GO:0006563)	13	8	1.42	+	5.64	5.47E-04	2.54E-02
signal peptide processing (GO:0006465)	14	8	1.53	+	5.23	7.85E-04	3.36E-02
formation of cytoplasmic translation initiation complex (GO:0001732)	16	9	1.75	+	5.15	4.03E-04	2.01E-02
protein targeting to ER (GO:0045047)	36	20	3.93	+	5.09	1.60E-07	1.93E-05
protein N-linked glycosylation via asparagine (GO:0018279)	24	13	2.62	+	4.96	2.90E-05	2.17E-03
establishment of protein localization to endoplasmic reticulum (GO:0072599)	40	21	4.37	+	4.81	1.63E-07	1.95E-05
peptidyl-asparagine modification (GO:0018196)	25	13	2.73	+	4.76	4.01E-05	2.86E-03
endoplasmic reticulum unfolded protein response (GO:0030968)	54	28	5.90	+	4.75	1.84E-09	3.35E-07
ER-nucleus signaling pathway (GO:0006984)	33	17	3.60	+	4.72	2.96E-06	2.91E-04
serine family amino acid biosynthetic process (GO:0009070)	20	10	2.18	+	4.58	3.96E-04	1.98E-02
protein exit from endoplasmic reticulum (GO:0032527)	25	12	2.73	+	4.40	1.42E-04	8.45E-03
