GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
p38MAPK cascade (GO:0038066)	13	8	1.42	+	5.64	5.47E-04	2.51E-02
nuclear pore organization (GO:0006999)	14	8	1.53	+	5.23	7.85E-04	3.36E-02
regulation of cellular response to heat (GO:1900034)	17	9	1.86	+	4.85	5.63E-04	2.57E-02
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	25	13	2.73	+	4.76	4.01E-05	2.73E-03
stress fiber assembly (GO:0043149)	18	9	1.97	+	4.58	7.71E-04	3.33E-02
contractile actin filament bundle assembly (GO:0030038)	18	9	1.97	+	4.58	7.71E-04	3.32E-02
secondary alcohol biosynthetic process (GO:1902653)	38	18	4.15	+	4.34	3.82E-06	3.26E-04
cholesterol biosynthetic process (GO:0006695)	38	18	4.15	+	4.34	3.82E-06	3.24E-04
regulation of clathrin-dependent endocytosis (GO:2000369)	19	9	2.07	+	4.34	1.04E-03	4.26E-02
maturation of 5.8S rRNA (GO:0000460)	36	17	3.93	+	4.32	7.30E-06	5.90E-04
cleavage involved in rRNA processing (GO:0000469)	28	13	3.06	+	4.25	9.84E-05	5.89E-03
sterol biosynthetic process (GO:0016126)	45	19	4.91	+	3.87	7.73E-06	6.19E-04
positive regulation of transcription by RNA polymerase I (GO:0045943)	34	14	3.71	+	3.77	1.47E-04	8.14E-03
intestinal absorption (GO:0050892)	32	13	3.49	+	3.72	2.80E-04	1.43E-02
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	39	15	4.26	+	3.52	1.59E-04	8.66E-03
tRNA methylation (GO:0030488)	43	16	4.69	+	3.41	1.32E-04	7.45E-03
regulation of transcription by RNA polymerase I (GO:0006356)	44	16	4.80	+	3.33	1.64E-04	8.80E-03
centrosome localization (GO:0051642)	33	12	3.60	+	3.33	1.05E-03	4.30E-02
maturation of SSU-rRNA (GO:0030490)	55	20	6.01	+	3.33	2.62E-05	1.92E-03
rRNA processing (GO:0006364)	223	74	24.35	+	3.04	3.56E-14	1.05E-11
cellular response to epidermal growth factor stimulus (GO:0071364)	43	14	4.69	+	2.98	1.01E-03	4.17E-02
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	68	22	7.42	+	2.96	4.60E-05	3.08E-03
protein import into nucleus (GO:0006606)	115	37	12.56	+	2.95	1.60E-07	1.62E-05
response to epidermal growth factor (GO:0070849)	47	15	5.13	+	2.92	8.02E-04	3.42E-02
rRNA metabolic process (GO:0016072)	254	81	27.73	+	2.92	1.39E-14	4.37E-12
ribosome biogenesis (GO:0042254)	303	95	33.08	+	2.87	2.04E-16	7.42E-14
import into nucleus (GO:0051170)	119	37	12.99	+	2.85	4.12E-07	4.01E-05
mRNA export from nucleus (GO:0006406)	65	20	7.10	+	2.82	1.76E-04	9.30E-03
histone H3 acetylation (GO:0043966)	62	19	6.77	+	2.81	2.63E-04	1.35E-02
ribosomal small subunit biogenesis (GO:0042274)	79	24	8.63	+	2.78	7.16E-05	4.49E-03
response to gamma radiation (GO:0010332)	56	17	6.11	+	2.78	5.95E-04	2.68E-02
RNA export from nucleus (GO:0006405)	84	25	9.17	+	2.73	5.77E-05	3.72E-03
negative regulation of response to DNA damage stimulus (GO:2001021)	83	24	9.06	+	2.65	1.08E-04	6.36E-03
ncRNA processing (GO:0034470)	413	116	45.09	+	2.57	7.51E-17	3.02E-14
ribonucleoprotein complex biogenesis (GO:0022613)	449	126	49.02	+	2.57	3.93E-18	2.05E-15
regulation of transcription elongation by RNA polymerase II (GO:0034243)	86	24	9.39	+	2.56	1.58E-04	8.69E-03
ribosomal large subunit biogenesis (GO:0042273)	76	21	8.30	+	2.53	4.59E-04	2.14E-02
mRNA transport (GO:0051028)	138	38	15.07	+	2.52	2.91E-06	2.52E-04
nucleus organization (GO:0006997)	146	40	15.94	+	2.51	2.55E-06	2.22E-04
regulation of translational initiation (GO:0006446)	84	23	9.17	+	2.51	2.68E-04	1.37E-02
RNA localization (GO:0006403)	190	52	20.75	+	2.51	5.47E-08	6.04E-06
peptidyl-threonine phosphorylation (GO:0018107)	70	19	7.64	+	2.49	1.02E-03	4.18E-02
positive regulation of histone modification (GO:0031058)	107	29	11.68	+	2.48	6.13E-05	3.92E-03
establishment of RNA localization (GO:0051236)	170	46	18.56	+	2.48	4.34E-07	4.20E-05
protein monoubiquitination (GO:0006513)	78	21	8.52	+	2.47	5.90E-04	2.67E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	104	28	11.36	+	2.47	9.03E-05	5.43E-03
regulation of DNA-templated transcription elongation (GO:0032784)	103	27	11.25	+	2.40	1.63E-04	8.76E-03
nucleocytoplasmic transport (GO:0006913)	248	65	27.08	+	2.40	7.83E-09	1.03E-06
nuclear transport (GO:0051169)	248	65	27.08	+	2.40	7.83E-09	1.02E-06
RNA transport (GO:0050658)	168	44	18.34	+	2.40	2.04E-06	1.85E-04
nucleic acid transport (GO:0050657)	168	44	18.34	+	2.40	2.04E-06	1.83E-04
DNA duplex unwinding (GO:0032508)	92	24	10.04	+	2.39	4.24E-04	2.03E-02
alcohol biosynthetic process (GO:0046165)	96	25	10.48	+	2.39	3.17E-04	1.58E-02
mitotic cytokinesis (GO:0000281)	81	21	8.84	+	2.37	1.14E-03	4.63E-02
signal transduction in response to DNA damage (GO:0042770)	135	35	14.74	+	2.37	2.35E-05	1.73E-03
ncRNA metabolic process (GO:0034660)	536	138	58.52	+	2.36	4.89E-17	2.07E-14
DNA damage checkpoint signaling (GO:0000077)	105	27	11.46	+	2.36	2.02E-04	1.06E-02
cholesterol metabolic process (GO:0008203)	121	31	13.21	+	2.35	8.95E-05	5.42E-03
nuclear export (GO:0051168)	133	34	14.52	+	2.34	3.77E-05	2.60E-03
DNA conformation change (GO:0071103)	107	27	11.68	+	2.31	3.50E-04	1.73E-02
transforming growth factor beta receptor signaling pathway (GO:0007179)	96	24	10.48	+	2.29	9.64E-04	4.02E-02
RNA methylation (GO:0001510)	92	23	10.04	+	2.29	8.34E-04	3.53E-02
DNA integrity checkpoint signaling (GO:0031570)	113	28	12.34	+	2.27	2.98E-04	1.50E-02
RNA 3'-end processing (GO:0031123)	109	27	11.90	+	2.27	4.00E-04	1.94E-02
protein localization to nucleus (GO:0034504)	194	48	21.18	+	2.27	2.16E-06	1.93E-04
tRNA metabolic process (GO:0006399)	196	48	21.40	+	2.24	3.66E-06	3.13E-04
DNA geometric change (GO:0032392)	98	24	10.70	+	2.24	1.06E-03	4.35E-02
secondary alcohol metabolic process (GO:1902652)	131	32	14.30	+	2.24	1.61E-04	8.74E-03
RNA processing (GO:0006396)	868	212	94.77	+	2.24	2.06E-23	1.70E-20
protein autophosphorylation (GO:0046777)	189	46	20.64	+	2.23	7.11E-06	5.78E-04
regulation of RNA splicing (GO:0043484)	181	44	19.76	+	2.23	8.48E-06	6.71E-04
response to ionizing radiation (GO:0010212)	144	35	15.72	+	2.23	7.20E-05	4.50E-03
regulation of nucleocytoplasmic transport (GO:0046822)	112	27	12.23	+	2.21	5.13E-04	2.37E-02
epigenetic regulation of gene expression (GO:0040029)	118	28	12.88	+	2.17	6.45E-04	2.87E-02
cell cycle checkpoint signaling (GO:0000075)	157	37	17.14	+	2.16	8.27E-05	5.07E-03
nucleobase-containing compound transport (GO:0015931)	225	53	24.57	+	2.16	2.34E-06	2.06E-04
phosphatidylinositol biosynthetic process (GO:0006661)	129	30	14.08	+	2.13	4.40E-04	2.08E-02
DNA-templated transcription elongation (GO:0006354)	185	43	20.20	+	2.13	2.80E-05	2.02E-03
regulation of histone modification (GO:0031056)	181	42	19.76	+	2.13	3.70E-05	2.58E-03
phospholipid biosynthetic process (GO:0008654)	246	57	26.86	+	2.12	2.17E-06	1.93E-04
response to transforming growth factor beta (GO:0071559)	161	37	17.58	+	2.10	1.58E-04	8.68E-03
tRNA processing (GO:0008033)	135	31	14.74	+	2.10	5.39E-04	2.49E-02
regulation of mRNA processing (GO:0050684)	140	32	15.29	+	2.09	4.23E-04	2.03E-02
establishment of cell polarity (GO:0030010)	127	29	13.87	+	2.09	9.93E-04	4.12E-02
sterol metabolic process (GO:0016125)	136	31	14.85	+	2.09	5.67E-04	2.58E-02
establishment of protein localization to organelle (GO:0072594)	334	76	36.47	+	2.08	5.72E-08	6.27E-06
mitochondrial gene expression (GO:0140053)	141	32	15.40	+	2.08	4.50E-04	2.11E-02
regulation of translation (GO:0006417)	410	91	44.77	+	2.03	8.25E-09	1.05E-06
cellular response to transforming growth factor beta stimulus (GO:0071560)	154	34	16.81	+	2.02	4.83E-04	2.24E-02
peptidyl-serine phosphorylation (GO:0018105)	186	41	20.31	+	2.02	1.20E-04	6.90E-03
ribonucleoprotein complex subunit organization (GO:0071826)	209	46	22.82	+	2.02	4.90E-05	3.25E-03
glycerophospholipid biosynthetic process (GO:0046474)	205	45	22.38	+	2.01	6.43E-05	4.08E-03
ribonucleoprotein complex assembly (GO:0022618)	201	44	21.95	+	2.00	8.47E-05	5.17E-03
negative regulation of cellular amide metabolic process (GO:0034249)	192	42	20.96	+	2.00	1.42E-04	7.90E-03
negative regulation of translation (GO:0017148)	170	37	18.56	+	1.99	3.64E-04	1.78E-02
post-transcriptional regulation of gene expression (GO:0010608)	498	107	54.37	+	1.97	1.78E-09	2.69E-07
negative regulation of cell cycle phase transition (GO:1901988)	224	48	24.46	+	1.96	8.08E-05	4.97E-03
chromatin remodeling (GO:0006338)	323	69	35.27	+	1.96	1.93E-06	1.76E-04
regulation of cellular amide metabolic process (GO:0034248)	469	100	51.21	+	1.95	8.39E-09	1.05E-06
cell cycle phase transition (GO:0044770)	183	39	19.98	+	1.95	3.77E-04	1.84E-02
mRNA metabolic process (GO:0016071)	607	129	66.28	+	1.95	8.45E-11	1.68E-08
modification-dependent macromolecule catabolic process (GO:0043632)	598	127	65.29	+	1.95	9.78E-11	1.89E-08
ubiquitin-dependent protein catabolic process (GO:0006511)	575	122	62.78	+	1.94	2.42E-10	4.36E-08
RNA splicing (GO:0008380)	368	78	40.18	+	1.94	4.89E-07	4.64E-05
regulation of RNA stability (GO:0043487)	175	37	19.11	+	1.94	6.65E-04	2.95E-02
RNA metabolic process (GO:0016070)	1635	345	178.52	+	1.93	1.00E-27	8.74E-25
macromolecule methylation (GO:0043414)	280	59	30.57	+	1.93	1.34E-05	1.03E-03
mitotic cell cycle (GO:0000278)	627	132	68.46	+	1.93	7.16E-11	1.44E-08
chromatin organization (GO:0006325)	585	123	63.87	+	1.93	3.34E-10	5.88E-08
mitotic cell cycle process (GO:1903047)	533	112	58.20	+	1.92	2.41E-09	3.51E-07
response to reactive oxygen species (GO:0000302)	167	35	18.23	+	1.92	8.29E-04	3.52E-02
peptidyl-serine modification (GO:0018209)	206	43	22.49	+	1.91	2.44E-04	1.26E-02
proteolysis involved in protein catabolic process (GO:0051603)	647	135	70.64	+	1.91	8.84E-11	1.73E-08
modification-dependent protein catabolic process (GO:0019941)	586	122	63.98	+	1.91	7.48E-10	1.21E-07
protein catabolic process (GO:0030163)	756	157	82.54	+	1.90	2.68E-12	6.67E-10
protein localization to organelle (GO:0033365)	694	144	75.77	+	1.90	2.27E-11	4.88E-09
regulation of cell morphogenesis (GO:0022604)	314	65	34.28	+	1.90	1.10E-05	8.62E-04
response to insulin (GO:0032868)	213	44	23.26	+	1.89	2.93E-04	1.48E-02
RNA splicing, via transesterification reactions (GO:0000375)	247	51	26.97	+	1.89	1.13E-04	6.62E-03
