




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
tubular endosome (GO:0097422)	5	5	.55	+	9.16	1.52E-03	1.99E-02
signal peptidase complex (GO:0005787)	6	5	.66	+	7.63	2.56E-03	3.11E-02
endoplasmic reticulum chaperone complex (GO:0034663)	11	9	1.20	+	7.49	5.23E-05	9.98E-04
cytosolic large ribosomal subunit (GO:0022625)	59	43	6.44	+	6.68	1.16E-17	6.96E-16
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	11	8	1.20	+	6.66	2.43E-04	4.04E-03
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	7	5	.76	+	6.54	4.03E-03	4.62E-02
oligosaccharyltransferase complex (GO:0008250)	14	10	1.53	+	6.54	4.49E-05	8.65E-04
ER ubiquitin ligase complex (GO:0000835)	10	7	1.09	+	6.41	7.08E-04	1.03E-02
cytosolic ribosome (GO:0022626)	105	73	11.46	+	6.37	4.25E-28	5.78E-26
Hrd1p ubiquitin ligase complex (GO:0000836)	9	6	.98	+	6.11	2.06E-03	2.60E-02
cytosolic small ribosomal subunit (GO:0022627)	45	30	4.91	+	6.11	4.82E-12	2.05E-10
polysomal ribosome (GO:0042788)	32	21	3.49	+	6.01	9.27E-09	3.01E-07
eukaryotic 48S preinitiation complex (GO:0033290)	15	9	1.64	+	5.50	2.82E-04	4.58E-03
retromer complex (GO:0030904)	12	7	1.31	+	5.34	1.54E-03	2.00E-02
cytoplasmic ubiquitin ligase complex (GO:0000153)	14	8	1.53	+	5.23	7.85E-04	1.12E-02
COPI-coated vesicle membrane (GO:0030663)	18	10	1.97	+	5.09	2.08E-04	3.54E-03
translation preinitiation complex (GO:0070993)	18	10	1.97	+	5.09	2.08E-04	3.51E-03
COPI-coated vesicle (GO:0030137)	22	12	2.40	+	5.00	5.57E-05	1.05E-03
COPI vesicle coat (GO:0030126)	13	7	1.42	+	4.93	2.17E-03	2.72E-02
eukaryotic translation initiation factor 3 complex (GO:0005852)	15	8	1.64	+	4.88	1.10E-03	1.48E-02
eukaryotic 43S preinitiation complex (GO:0016282)	17	9	1.86	+	4.85	5.63E-04	8.65E-03
rough endoplasmic reticulum membrane (GO:0030867)	25	13	2.73	+	4.76	4.01E-05	7.80E-04
small ribosomal subunit (GO:0015935)	78	39	8.52	+	4.58	3.03E-12	1.37E-10
endoplasmic reticulum quality control compartment (GO:0044322)	24	12	2.62	+	4.58	1.05E-04	1.91E-03
endoplasmic reticulum protein-containing complex (GO:0140534)	128	61	13.98	+	4.36	1.43E-17	8.11E-16
ribosomal subunit (GO:0044391)	189	90	20.64	+	4.36	2.91E-25	3.31E-23
large ribosomal subunit (GO:0015934)	115	53	12.56	+	4.22	5.49E-15	2.80E-13
polysome (GO:0005844)	67	29	7.32	+	3.96	2.26E-08	7.10E-07
ribosome (GO:0005840)	228	98	24.89	+	3.94	9.20E-25	9.89E-23
melanosome (GO:0042470)	111	37	12.12	+	3.05	7.66E-08	2.30E-06
pigment granule (GO:0048770)	111	37	12.12	+	3.05	7.66E-08	2.27E-06
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	81	26	8.84	+	2.94	1.10E-05	2.26E-04
rough endoplasmic reticulum (GO:0005791)	82	26	8.95	+	2.90	1.31E-05	2.67E-04
Golgi-associated vesicle membrane (GO:0030660)	58	18	6.33	+	2.84	3.33E-04	5.28E-03
autophagosome membrane (GO:0000421)	52	16	5.68	+	2.82	7.55E-04	1.09E-02
extrinsic component of organelle membrane (GO:0031312)	56	17	6.11	+	2.78	5.95E-04	8.93E-03
integral component of endoplasmic reticulum membrane (GO:0030176)	169	51	18.45	+	2.76	7.59E-09	2.54E-07
