




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
eukaryotic translation initiation factor 2B complex (GO:0005851)	6	6	.66	+	9.16	4.94E-04	1.06E-02
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	6	5	.66	+	7.63	2.56E-03	4.21E-02
90S preribosome (GO:0030686)	29	18	3.17	+	5.68	1.95E-07	1.02E-05
preribosome, small subunit precursor (GO:0030688)	16	9	1.75	+	5.15	4.03E-04	9.05E-03
small-subunit processome (GO:0032040)	39	19	4.26	+	4.46	1.50E-06	6.95E-05
preribosome, large subunit precursor (GO:0030687)	21	10	2.29	+	4.36	5.33E-04	1.11E-02
preribosome (GO:0030684)	78	36	8.52	+	4.23	1.18E-10	8.03E-09
MLL1 complex (GO:0071339)	31	13	3.38	+	3.84	2.19E-04	5.52E-03
pericentriolar material (GO:0000242)	22	9	2.40	+	3.75	2.31E-03	3.87E-02
MLL1/2 complex (GO:0044665)	32	13	3.49	+	3.72	2.80E-04	6.90E-03
phosphatidylinositol 3-kinase complex (GO:0005942)	29	11	3.17	+	3.47	1.28E-03	2.44E-02
transcription elongation factor complex (GO:0008023)	47	16	5.13	+	3.12	3.02E-04	7.35E-03
SAGA-type complex (GO:0070461)	39	13	4.26	+	3.05	1.27E-03	2.45E-02
euchromatin (GO:0000791)	60	20	6.55	+	3.05	7.14E-05	2.24E-03
histone methyltransferase complex (GO:0035097)	62	20	6.77	+	2.95	1.03E-04	2.98E-03
methyltransferase complex (GO:0034708)	93	28	10.15	+	2.76	1.72E-05	6.40E-04
heterochromatin (GO:0000792)	80	22	8.73	+	2.52	3.50E-04	8.31E-03
nuclear pore (GO:0005643)	99	27	10.81	+	2.50	1.12E-04	3.13E-03
actomyosin (GO:0042641)	81	22	8.84	+	2.49	3.98E-04	9.03E-03
proteasome complex (GO:0000502)	60	16	6.55	+	2.44	3.00E-03	4.82E-02
cytoplasmic stress granule (GO:0010494)	87	23	9.50	+	2.42	5.29E-04	1.11E-02
neuron projection cytoplasm (GO:0120111)	90	22	9.83	+	2.24	2.01E-03	3.45E-02
inclusion body (GO:0016234)	78	19	8.52	+	2.23	3.14E-03	4.90E-02
Sm-like protein family complex (GO:0120114)	83	20	9.06	+	2.21	2.59E-03	4.24E-02
protein acetyltransferase complex (GO:0031248)	101	24	11.03	+	2.18	1.31E-03	2.47E-02
acetyltransferase complex (GO:1902493)	101	24	11.03	+	2.18	1.31E-03	2.45E-02
nuclear speck (GO:0016607)	419	99	45.75	+	2.16	1.11E-10	7.82E-09
PML body (GO:0016605)	105	24	11.46	+	2.09	2.53E-03	4.21E-02
ficolin-1-rich granule lumen (GO:1904813)	124	28	13.54	+	2.07	1.40E-03	2.57E-02
nuclear periphery (GO:0034399)	148	33	16.16	+	2.04	5.89E-04	1.22E-02
nuclear matrix (GO:0016363)	126	28	13.76	+	2.04	1.51E-03	2.76E-02
nuclear protein-containing complex (GO:0140513)	1276	281	139.32	+	2.02	8.66E-25	1.04E-22
condensed chromosome, centromeric region (GO:0000779)	173	38	18.89	+	2.01	2.61E-04	6.51E-03
nuclear membrane (GO:0031965)	309	67	33.74	+	1.99	1.79E-06	7.96E-05
chromosome, centromeric region (GO:0000775)	236	51	25.77	+	1.98	3.43E-05	1.23E-03
nuclear body (GO:0016604)	833	180	90.95	+	1.98	2.32E-15	1.90E-13
ruffle (GO:0001726)	181	39	19.76	+	1.97	3.51E-04	8.25E-03
kinetochore (GO:0000776)	163	35	17.80	+	1.97	6.72E-04	1.36E-02
nucleolus (GO:0005730)	1002	212	109.40	+	1.94	3.92E-17	4.01E-15
chromosomal region (GO:0098687)	375	78	40.94	+	1.91	9.24E-07	4.49E-05
fibrillar center (GO:0001650)	145	30	15.83	+	1.89	3.00E-03	4.79E-02
cullin-RING ubiquitin ligase complex (GO:0031461)	179	37	19.54	+	1.89	7.87E-04	1.53E-02
RNA polymerase II transcription regulator complex (GO:0090575)	251	51	27.41	+	1.86	1.29E-04	3.46E-03
spliceosomal complex (GO:0005681)	197	40	21.51	+	1.86	6.33E-04	1.29E-02
ribonucleoprotein granule (GO:0035770)	267	54	29.15	+	1.85	9.34E-05	2.73E-03
transferase complex (GO:1990234)	847	170	92.48	+	1.84	3.45E-12	2.61E-10
ribonucleoprotein complex (GO:1990904)	714	143	77.96	+	1.83	2.71E-10	1.79E-08
ficolin-1-rich granule (GO:0101002)	185	37	20.20	+	1.83	1.39E-03	2.58E-02
transferase complex, transferring phosphorus-containing groups (GO:0061695)	300	60	32.76	+	1.83	5.09E-05	1.76E-03
mitotic spindle (GO:0072686)	183	36	19.98	+	1.80	1.97E-03	3.44E-02
spindle pole (GO:0000922)	173	34	18.89	+	1.80	3.08E-03	4.84E-02
ubiquitin ligase complex (GO:0000151)	311	61	33.96	+	1.80	6.88E-05	2.23E-03
midbody (GO:0030496)	204	40	22.27	+	1.80	1.55E-03	2.81E-02
nuclear envelope (GO:0005635)	490	96	53.50	+	1.79	6.99E-07	3.48E-05
cell cortex (GO:0005938)	317	62	34.61	+	1.79	7.85E-05	2.39E-03
nucleoplasm (GO:0005654)	4130	799	450.93	+	1.77	6.53E-58	1.48E-55
intracellular protein-containing complex (GO:0140535)	898	173	98.05	+	1.76	3.71E-11	2.71E-09
cytoplasmic ribonucleoprotein granule (GO:0036464)	250	48	27.30	+	1.76	7.87E-04	1.55E-02
condensed chromosome (GO:0000793)	273	52	29.81	+	1.74	4.69E-04	1.03E-02
nuclear lumen (GO:0031981)	4494	850	490.68	+	1.73	6.33E-59	3.23E-56
mitochondrial protein-containing complex (GO:0098798)	293	54	31.99	+	1.69	7.20E-04	1.44E-02
cell leading edge (GO:0031252)	427	78	46.62	+	1.67	5.74E-05	1.89E-03
catalytic complex (GO:1902494)	1686	305	184.09	+	1.66	6.41E-16	5.69E-14
spindle (GO:0005819)	428	77	46.73	+	1.65	1.07E-04	3.03E-03
centrosome (GO:0005813)	634	114	69.22	+	1.65	2.48E-06	1.06E-04
