




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
tRNA (guanine) methyltransferase activity (GO:0016423)	14	8	1.53	+	5.23	7.85E-04	3.79E-02
structural constituent of nuclear pore (GO:0017056)	28	14	3.06	+	4.58	2.84E-05	2.05E-03
phosphatidylinositol kinase activity (GO:0052742)	19	9	2.07	+	4.34	1.04E-03	4.83E-02
snoRNA binding (GO:0030515)	32	13	3.49	+	3.72	2.80E-04	1.50E-02
ATP-dependent chromatin remodeler activity (GO:0140658)	35	14	3.82	+	3.66	1.88E-04	1.05E-02
tRNA methyltransferase activity (GO:0008175)	35	14	3.82	+	3.66	1.88E-04	1.04E-02
tau protein binding (GO:0048156)	43	15	4.69	+	3.19	3.74E-04	1.96E-02
scaffold protein binding (GO:0097110)	66	21	7.21	+	2.91	8.25E-05	5.33E-03
RNA helicase activity (GO:0003724)	77	24	8.41	+	2.85	3.49E-05	2.41E-03
ATP-dependent activity, acting on RNA (GO:0008186)	79	24	8.63	+	2.78	7.16E-05	4.81E-03
DNA helicase activity (GO:0003678)	74	22	8.08	+	2.72	1.76E-04	1.02E-02
methylation-dependent protein binding (GO:0140034)	78	23	8.52	+	2.70	1.29E-04	7.85E-03
methylated histone binding (GO:0035064)	78	23	8.52	+	2.70	1.29E-04	7.75E-03
helicase activity (GO:0004386)	157	46	17.14	+	2.68	7.09E-08	7.51E-06
RNA methyltransferase activity (GO:0008173)	66	19	7.21	+	2.64	6.52E-04	3.24E-02
ATP-dependent activity, acting on DNA (GO:0008094)	125	34	13.65	+	2.49	1.22E-05	9.61E-04
translation factor activity, RNA binding (GO:0008135)	90	24	9.83	+	2.44	3.59E-04	1.90E-02
modification-dependent protein binding (GO:0140030)	171	44	18.67	+	2.36	2.57E-06	2.21E-04
transcription coregulator binding (GO:0001221)	114	29	12.45	+	2.33	1.76E-04	1.01E-02
cadherin binding (GO:0045296)	325	79	35.48	+	2.23	3.12E-09	4.43E-07
histone binding (GO:0042393)	259	61	28.28	+	2.16	5.74E-07	5.19E-05
protein serine kinase activity (GO:0106310)	364	85	39.74	+	2.14	3.15E-09	4.35E-07
catalytic activity, acting on a tRNA (GO:0140101)	129	30	14.08	+	2.13	4.40E-04	2.28E-02
ubiquitin protein ligase binding (GO:0031625)	301	69	32.86	+	2.10	2.17E-07	2.12E-05
ubiquitin-like protein ligase binding (GO:0044389)	320	73	34.94	+	2.09	1.21E-07	1.26E-05
