name	logFC	Pval	logPval	FDR
HIST2H2BF	3.43477819514839	3.55187576304655e-125	124.44954223331206	9.99121758758153e-123
HIST1H1E	2.83836776082882	2.09938264825445e-46	45.67790839663449	9.9398493306463e-45
ADARB1	2.57486839236745	7.06033976936525e-33	32.15117439860686	2.08410770229041e-31
AL031777.1	2.56862156354519	1.0226655620729e-68	67.99026636852932	9.2271447506276e-67
HIST1H2BF	2.43823019019338	2.27888901940268e-82	81.64227682419856	3.02712424743989e-80
HIST1H3D	2.43517272353639	1.73324504488853e-73	72.76114003271617	1.95020654227222e-71
LINC00520	2.25238066209585	1.40085429865234e-61	60.85360703286689	1.03059773171623e-59
SLCO2B1	2.2384856203218	3.18594924673396e-82	81.49676114694007	4.17402994462515e-80
HIST1H3B	2.21494836343594	1.03205430324947e-47	46.986297450982896	5.01044028237461e-46
HIST1H2BG	2.17258288853744	1.21559657384971e-201	200.91521053264628	7.75064375486576e-199
PALM3	2.16276986426576	4.17678119952055e-39	38.379158274634264	1.56041935125838e-37
AKR1C3	2.16112537839457	4.37051988725862e-63	62.359466899245085	3.31743271442392e-61
SNPH	2.13123607067119	1.23079548736165e-48	47.90981410473651	6.06769486656023e-47
HIST1H4E	2.12295630631379	4.29162534987117e-49	48.367378198072686	2.1602686761141e-47
AREG	1.94607579215904	1.10932740040049e-29	28.95494025979949	2.8674614209271e-28
HIST2H2BE	1.92509274787576	2.05650930643468e-259	258.6868693208136	3.27807583445688e-256
TSPAN5	1.88693376109761	4.77311248835602e-24	23.321198330457424	9.31633629359937e-23
HIST1H2BH	1.78172783352211	2.72760913668087e-29	28.56421786346738	6.91958986292199e-28
HIST1H2AG	1.74963255592713	1.43888891584896e-203	202.84197273288478	9.82966685084247e-201
GP6	1.71978980351163	7.28550131872054e-24	23.137540558861303	1.39636341908303e-22
HIST1H2AI	1.66615005852618	3.96540619176769e-99	98.40171231961801	7.43630290550317e-97
HIST1H3H	1.65263672284268	1.7765090836841601e-175	174.75043256752517	8.94238572439752e-173
ENC1	1.63516344222169	2.72512500269147e-17	16.56461357165009	3.36298006783758e-16
HIST1H2AE	1.59602923231214	6.879012599141e-56	55.16247389512484	4.19050168778245e-54
AC020571.1	1.58807107498748	1.06391556379837e-19	18.97309283786009	1.57512205141913e-18
HIST1H2BC	1.55040020641616	1.1514278820401e-83	82.93876325823199	1.55102200899035e-81
AQP3	1.5431559995205	2.24973611937965e-60	59.64786841905224	1.63003607922325e-58
COL1A2	1.54060863572778	4.98582102686705e-26	25.30226331517021	1.08620483601268e-24
LRRC4B	1.51618228597822	9.0195043014456e-29	28.044817329981612	2.24058543218249e-27
LINC02432	1.51421739887246	4.5818180144201e-58	57.338962164579776	3.02210396482164e-56
CFAP161	1.49759321936661	1.08781189488991e-86	85.96344619661774	1.65140205757573e-84
NDRG2	1.48945051482416	6.59757428963179e-92	91.18061571086228	1.1070035176498e-89
LPCAT4	1.47389335544213	1.41792489522042e-29	28.848346772294818	3.64543916609896e-28
SLC7A8	1.45811476158257	3.62819283154278e-70	69.4403096390735	3.47000362408752e-68
TRIB1	1.44888228257364	6.49790894270714e-32	31.18722637885698	1.86065871640872e-30
PHLDA1	1.44130970990614	1.99102644070001e-33	32.700922972532176	6.00699586083751e-32
AL021807.1	1.43943255592082	2.26320949219091e-69	68.64527524406049	2.10148889158387e-67
ANK3	1.43147311461838	8.98708483385858e-85	84.04638115875414	1.28287282613468e-82
HIST1H2BJ	1.43033286845444	8.06179941763058e-107	106.09356801155383	1.71340110289375e-104
CD44	1.42783920705081	2.3395938871823e-35	34.63085952201826	7.66297121130531e-34
NDUFV2	1.42473288661928	8.92736165798077e-18	17.049276871086576	1.15069119807181e-16
HMGCS1	1.4129781964461	9.57034401558597e-155	154.01907245079312	3.52041423711785e-152
SLC5A3	1.3789400383077	2.01348063189736e-81	80.69605254360836	2.6022876707387e-79
TNRC6C-AS1	1.37872408005627	7.78773255408837e-46	45.10858897141472	3.65107226212261e-44
SOCS1	1.37609649170459	9.53771399265764e-13	12.020555704891553	7.80313914677311e-12
POP1	1.35929576328424	2.91697861352068e-46	45.53506675499346	1.37428489949319e-44
AC126175.1	1.35844260075884	4.71506638559168e-25	24.326512188251534	9.61511618588462e-24
ALAS2	1.35023121535428	1.09977592070656e-64	63.958695793309126	8.76521408803129e-63
NEAT1	1.32468165387482	7.20826623446683e-105	104.14216918123758	1.49869257100958e-102
MSMO1	1.31868280172853	7.21061155463126e-75	74.14202789983834	8.3087095070474e-73
GDF11	1.30477452865976	9.14910591483428e-50	49.03862134475607	4.8078048884327e-48
HIST1H2BD	1.30411159031712	2.56820348488195e-61	60.59037056905322	1.87498459003137e-59
DACT3	1.29618964878732	4.78564162844428e-17	16.320059826536717	5.75721717414353e-16
RASGEF1A	1.28501134454604	4.5344103572374e-36	35.34347917944121	1.51633219079086e-34
HIST1H4I	1.27850690656902	4.29915884184903e-18	17.366616508624762	5.67133174668195e-17
CDR2L	1.2490299993672	3.79409535293384e-36	35.42089175865225	1.27770168857251e-34
VGF	1.24789718032171	5.01616453377898e-15	14.299628226774553	4.97661800840894e-14
WDR90	1.2467829700332	4.65006815123336e-11	10.33254068205893	3.23206771790668e-10
AP006222.1	1.24415839016508	7.9318563943338e-34	33.10062515726464	2.43305776098066e-32
EGLN3	1.24271719305347	8.04738011357201e-23	22.09434548452765	1.45217251709816e-21
INSIG1	1.23757431008182	5.30955052260558e-139	138.27494224234874	1.69268470660666e-136
HSPA8	1.22354728255104	2.23923140919559e-225	224.6499010227481	1.92253253479034e-222
SQLE	1.21427519815365	4.628987011342e-156	155.33451403781956	1.84465132401979e-153
GABRQ	1.19999563418363	1.40262320369123e-19	18.853058980814602	2.04804401833633e-18
SESN3	1.19681731825301	3.56556319484116e-18	17.4478718618588	4.73625644381401e-17
AXL	1.189542670784	1.85397749129466e-19	18.73189554282683	2.68658192829426e-18
RBM14	1.18898845703346	1.9236898118443e-17	16.71586495509695	2.42081175795775e-16
SERPINE1	1.18651086162979	4.14253362712354e-16	15.382733957497662	4.56442299652184e-15
LINC02193	1.18540295287577	2.77582592883176e-39	38.55660777183323	1.04932803096233e-37
CTXN1	1.1759618939912	3.69614581623168e-23	22.43225090381134	6.83751229911794e-22
FILIP1L	1.17585182884337	9.91484646747032e-19	18.00371400650625	1.36439700165304e-17
HBE1	1.17226484927733	3.82386012739045e-171	170.41749800212122	1.82856991291811e-168
SLC17A7	1.17134134120408	1.12806364374067e-15	14.947666397386667	1.18819390845108e-14
AC012653.2	1.15577125369609	7.70627854776142e-16	15.113155297221615	8.2074441014243e-15
MCAM	1.15563605764919	1.20804111677424e-65	64.91791828385705	9.79127562782101e-64
ATP1B2	1.14333551216795	7.54096776447758e-14	13.12257291569493	6.81680677688692e-13
HBA2	1.14125877692064	6.98209214387434e-49	48.15601442402483	3.45993415875721e-47
SLC41A1	1.12260993938337	3.19624439602897e-33	32.495360020412875	9.58272144314139e-32
HBZ	1.11909607603563	5.41847604106559e-50	49.26612284261662	2.86311076556637e-48
LZTS3	1.11653461924674	3.61910629585875e-18	17.44139866115072	4.80071187428475e-17
HIST1H4H	1.11290911226367	5.09728402888546e-78	77.29266116614822	6.25005441695647e-76
HBG2	1.10666342510098	8.7538314558728e-19	18.057801819442012	1.20985034745618e-17
FNDC10	1.10604719319195	2.26245491308569e-14	13.645420066793786	2.12973610125508e-13
LINC00431	1.09222967620424	8.97530077989263e-11	10.046950988447824	6.04505469428825e-10
SMARCA1	1.09113814394483	2.39101575764869e-13	12.621417561718888	2.05829655320901e-12
CLIP2	1.07973088943833	1.0242156026928e-19	18.989608612497157	1.51869736808589e-18
MAP1A	1.07527072063304	4.4661938486286e-62	61.350062430937065	3.33708421627218e-60
PDLIM4	1.06511651633084	6.74830953010322e-37	36.170805005494174	2.32999394750568e-35
AC005224.4	1.06299647837839	4.11829800348531e-10	9.385282230669267	2.58108794923549e-9
DHCR7	1.05463254677291	9.19975527742484e-86	85.03622372516287	1.37478842927017e-83
LIMA1	1.04911360278955	4.455633520638e-60	59.35109053742813	3.20403601438961e-58
AC093323.1	1.0425758920359	5.64157078579597e-72	71.24859995831733	5.86478076036442e-70
FAM131A	1.04160168627232	1.28985643750853e-16	15.889458624481719	1.49711006897228e-15
KLF6	1.02840525613994	2.35690852758443e-51	50.62765727226405	1.28076552033054e-49
NRGN	1.02802630730832	7.81330472887286e-13	12.107165237320121	6.44749322061605e-12
ADAT3	1.01536853285391	6.92921982607851e-9	8.159315660669982	3.77397826973889e-8
SLC22A4	1.01500413244928	6.03880760836587e-10	9.219048806449978	3.71894114400587e-9
SERPINB9	1.00581675319909	1.70953361392054e-76	75.76712235541335	2.04374743544201e-74
TUBB1	1.00570850886381	3.84186142161806e-15	14.415458304469642	3.85152648179824e-14
GAMT	1.00535829724148	2.07210509160654e-29	28.68358822211821	5.29882703104944e-28
RHOB	0.990534606773199	6.06764838522174e-8	7.216979594131584	2.94274792881647e-7
